address,tagname,description,SCADA_tagname,type,source
450.00,STER_SHUTDOWN_SS1,"""SHUTDOWN STARTED""","['STER_SHUTDOWN_SS1', 'STER_CIP_SQT_PURGE_TRIGGER']",BOOL,BOTH
450.02,STER_SHUTDOWN_SS2,"""STOP GELATIN FEED""",['STER_SHUTDOWN_SS2'],BOOL,BOTH
450.04,STER_SHUTDOWN_SS3,"""WATER FEED""",['STER_SHUTDOWN_SS3'],BOOL,BOTH
450.06,STER_SHUTDOWN_SS4,"""EMPTY SEPARATOR""",['STER_SHUTDOWN_SS4'],BOOL,BOTH
450.08,STER_SHUTDOWN_SS5,"""REBUILT SEPARATOR LEVEL""",['STER_SHUTDOWN_SS5'],BOOL,BOTH
450.10,STER_SHUTDOWN_SS6,"""WATER TO DRAIN""",['STER_SHUTDOWN_SS6'],BOOL,BOTH
450.12,STER_SHUTDOWN_SS7,"""RECIRCULATION""",['STER_SHUTDOWN_SS7'],BOOL,BOTH
450.14,STER_SHUTDOWN_SS8,"""EMPTY STERILE TANK""",['STER_SHUTDOWN_SS8'],BOOL,BOTH
451.00,STER_SHUTDOWN_SS9,"""FORWARD""",['STER_SHUTDOWN_SS9'],BOOL,BOTH
451.02,STER_SHUTDOWN_SS10,"""RECIRCULATION""",['STER_SHUTDOWN_SS10'],BOOL,BOTH
451.04,STER_SHUTDOWN_SS11,"""STOP STEAM""",['STER_SHUTDOWN_SS11'],BOOL,BOTH
451.06,STER_SHUTDOWN_SS12,"""SHUTDOWN COMPLETE""",['STER_SHUTDOWN_SS12'],BOOL,BOTH
455.02,WS1,"""WATER STEP #1""",[],BOOL,PLC
455.04,WS2,"""WATER STEP #2""",[],BOOL,PLC
455.08,WS3,"""WATER STEP #3""",[],BOOL,PLC
465.02,SLCS1,""" """,[],BOOL,PLC
465.04,SLCS2,"""SYSTEM IN RECIRCULATION V4.15 ENERG.""",[],BOOL,PLC
465.08,SLCS3,"""RESET""",[],BOOL,PLC
470.03,SEP_LVL_26PERCENT,""" """,[],BOOL,PLC
470.04,SEPARATOR_10,"""Separator < 10%""",[],BOOL,PLC
470.08,STER_LEVEL_SEPARATOR,"""SEPARATOR LEVEL HI - CHECK P72""",['STER_LEVEL_SEPARATOR'],BOOL,BOTH
470.12,STER_AFTERLOOP_TEMP,"""AFTER LOOP TEMP <140 c""",['STER_AFTERLOOP_TEMP'],BOOL,BOTH
470.13,SEP_LVL_65PERCENT,"""Seperator Level <65%""",[],BOOL,PLC
470.14,STER_BEFORELOOP_TEMP,"""BEFORE LOOP TEMP <140 c""",['STER_BEFORELOOP_TEMP'],BOOL,BOTH
471.00,STER_PU66_CIP_LOWFLOW,"""P66 CIP LowFlow Rate ""check P66""""",['STER_PU66_CIP_LOWFLOW'],BOOL,BOTH
471.01,SEPERATOR_LEVEL_12,"""Seperator Level < 12%""",[],BOOL,PLC
480.02,STOP_P67,"""Sep Level < 11%""",[],BOOL,PLC
480.03,LOOPTEMPGRTRTHAN95C,"""loop temp >/= 95c  stop steam""",[],BOOL,PLC
480.04,LOOPTEMPLESSTHAN85C,"""loop temp </= 85c  start steam""",[],BOOL,PLC
