Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
DI,N_PRE_V4003_HMI_CMD_DI,,PRT4 Spray Ball Cold Water Valve  HMI CM,OMR_FINS.EXT.H504.4,H504.4,H504.4,EXT_V4003_HMI_CMD
DI,N_PRE_PRT1_DROP_STOP_DI,,Sequence Stop,OMR_FINS.EXT.H100.2,H100.2,H100.2,EXT_N_PRE_PRT1_DROP_STOP
DI,N_PRE_PRT1_POSTW4_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H108.1,H108.1,H108.1,EXT_PRT1_POSTW4_AUTO
DI,N_PRE_PRT1_POSTW4_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H108.1,H108.1,H108.1,EXT_PRT1_POSTW4_AUTO
DI,N_PRE_PRT1_POSTWIII_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H101.1,H101.1,H101.1,EXT_PRT1_POSTWIII_AUTO
DI,N_PRE_POSTW3_4_CAUSTIC_ENABLE,,(NGC)POSTW3_4_CAUSTIC_ENABLE,OMR_FINS.EXT.H508.6,H508.6,H508.6,EXT_PRT4_POSTWIII_CAUSTIC_ENABLE
DI,N_PRE_PRT1_POSTWIII_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H101.1,H101.1,H101.1,EXT_PRT1_POSTWIII_AUTO
DI,N_PRE_V4003_MANUAL_P4,,(NGC)V4003 PRT4 Spray Ball Cold Water Va,OMR_FINS.EXT.H503.4,H503.4,H503.4,EXT_V4003_MANUAL
DI,N_PRE_PRT1_POSTWII_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H100.14,H100.14,H100.14,EXT_PRT1_POSTWII_AUTO
DI,N_PRE_PRT1_POSTWII_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H100.14,H100.14,H100.14,EXT_PRT1_POSTWII_AUTO
DI,N_PRE_PRT1_POSTWI_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H100.11,H100.11,H100.11,EXT_PRT1_POSTWI_AUTO
DI,N_PRE_PRT1_POSTWI_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H100.11,H100.11,H100.11,EXT_PRT1_POSTWI_AUTO
DI,N_PRE_PRT1_PREWASH_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H100.5,H100.5,H100.5,EXT_PRT1_PREWASH_AUTO
DI,N_PRE_PRT1_PREWASH_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H100.5,H100.5,H100.5,EXT_PRT1_PREWASH_AUTO
DI,SLUDGE_ROC_RESET,,SLUDGE TANK ROC ALARM RESET,OMR_FINS.EXT.W18.1,W18.1,W18.1,EXT_SCADA_RESET_P_B_SLUDGE
DI,N_PRE_PRT1_SEQ_TIM_EN,,(NGC)Sequence Timer Enabled,OMR_FINS.EXT.H101.15,H101.15,H101.15,EXT_PRT1_SEQ_TIM_EN
DI,N_PRE_PRT1_SEQ_TIM_EN_DI,,Sequence Timer Enabled,OMR_FINS.EXT.H101.15,H101.15,H101.15,EXT_PRT1_SEQ_TIM_EN
DI,N_PRE_PRT1_TIMER_RESET,,,OMR_FINS.EXT.H102.8,H102.8,H102.8,EXT_PRT1_TIM_RESET
DI,SKIMMINGS_ROC_RESET,,SKIMMINGS TANK ROC ALARM RESET,OMR_FINS.EXT.W18.5,W18.5,W18.5,EXT_SCADA_RESET_P_B_SKIMMINGS
DI,N_PRE_POSTW3_3_START_DI,,Sequence Start,OMR_FINS.EXT.H301.0,H301.0,H301.0,EXT_PRT3_POSTWIII_START
DI,N_PRE_POSTW3_3_START,,(NGC)Sequence Start,OMR_FINS.EXT.H301.0,H301.0,H301.0,EXT_PRT3_POSTWIII_START
DI,N_PRE_POSTW3_3_SKIP_DI,,Sequence Skip,OMR_FINS.EXT.H301.2,H301.2,H301.2,EXT_PRT3_POSTWIII_SKIP
DI,N_PRE_POSTW3_3_SKIP,,(NGC)Sequence Skip,OMR_FINS.EXT.H301.2,H301.2,H301.2,EXT_PRT3_POSTWIII_SKIP
DI,N_PRE_PRT1_WATER_IND,,(NGC)PRT1 Water Indicator,OMR_FINS.EXT.H101.7,H101.7,H101.7,EXT_PRT1_WATER_IND
DI,N_PRE_V4003_MANUAL_P4_DI,,V4003 PRT4 Spray Ball Cold Water Valve,OMR_FINS.EXT.H503.4,H503.4,H503.4,EXT_V4003_MANUAL
DI,N_PRE_PRT1_WATER_IND_DI,,PRT1 Water Indicator,OMR_FINS.EXT.H101.7,H101.7,H101.7,EXT_PRT1_WATER_IND
DI,N_PRE_PRT1_WATER_REQ,,(NGC)PRT1 Water Request,OMR_FINS.EXT.H101.6,H101.6,H101.6,EXT_PRT1_WATER_REQ
DI,N_PRE_PRT1_WATER_REQ_DI,,PRT1 Water Request,OMR_FINS.EXT.H101.6,H101.6,H101.6,EXT_PRT1_WATER_REQ
DI,N_PRE_PRT2_ACID_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H200.8,H200.8,H200.8,EXT_PRT2_ACID_AUTO
DI,N_PRE_PRT2_ACID_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H200.8,H200.8,H200.8,EXT_PRT2_ACID_AUTO
DI,N_PRE_PRT2_ACID_IND,,(NGC)PRT2 Acid Indicator,OMR_FINS.EXT.H201.11,H201.11,H201.11,EXT_PRT2_ACID_IND
DI,N_PRE_PRT2_ACID_IND_DI,,PRT2 Acid Indicator,OMR_FINS.EXT.H201.11,H201.11,H201.11,EXT_PRT2_ACID_IND
DI,N_PRE_PRT2_ACID_REQ,,(NGC)PRT2 Acid Indicator,OMR_FINS.EXT.H201.10,H201.10,H201.10,EXT_N_PRE_PRT2_ACID_REQ
DI,N_PRE_PRT2_ACID_REQ_DI,,PRT2 Acid Indicator,OMR_FINS.EXT.H201.10,H201.10,H201.10,EXT_N_PRE_PRT2_ACID_REQ
DI,N_PRE_PRT2_ADVANCE_ACT_TIM,,(NGC)Sequence Step Advance Request,OMR_FINS.EXT.H201.14,H201.14,H201.14,EXT_PRT2_ADVANCE_ACT_TIM
DI,N_PRE_PRT2_ADVANCE_ACT_TIM_DI,,Sequence Step Advance Request,OMR_FINS.EXT.H201.14,H201.14,H201.14,EXT_PRT2_ADVANCE_ACT_TIM
DI,N_PRE_V4003_ZC,,(NGC)PRT4 Spray Ball Cold Water Valve  O,OMR_FINS.EXT.W15.4,W15.4,W15.4,EXT_N_PRE_V4003_ZC
